date,current,open,high,low,volume,trade_volume
20181002,730,738,744,727,186404,137
20181001,749,744,753,740,100381,75
20180928,744,733,746,733,92003,68
20180927,740,715,745,715,215755,158
20180921,718,767,775,708,810471,596
20180920,770,787,787,757,746107,574
20180919,783,785,790,777,220633,172
20180918,787,786,794,778,193384,152
20180917,786,795,795,780,265180,208
20180914,793,782,802,781,578606,458
20180913,781,766,781,766,220318,170
20180912,773,783,788,762,279712,216
20180911,781,770,800,765,484061,379
20180910,781,765,790,741,413083,316
20180907,758,760,773,754,227008,173
20180906,760,776,776,754,399129,304
20180905,775,778,780,766,292947,226
20180904,778,779,779,760,377599,291
20180903,779,752,784,750,717386,551
20180831,765,760,824,749,3587906,2837
20180830,770,739,837,723,5135681,4028
20180829,741,719,743,710,1170845,850
20180828,720,713,728,690,2125829,1508
20180827,721,665,722,648,7721225,5403
20180824,640,630,640,618,527083,333
20180823,634,619,710,616,3840465,2525
20180822,617,615,617,608,261871,160
20180821,613,609,613,602,288692,175
20180820,609,607,610,604,279117,169
20180817,607,604,612,600,281135,170
20180816,607,608,608,588,441350,264
20180814,608,604,610,598,428756,259
20180813,605,607,611,585,445941,267
20180810,607,609,610,599,202629,123
20180809,607,609,610,603,144310,87
20180808,608,609,610,600,72463,44
20180807,607,607,610,601,87843,53
20180806,607,601,610,600,198402,120
20180803,602,597,605,596,79071,47
20180802,598,597,599,593,105509,63
20180801,597,597,597,590,140080,83
20180731,595,590,595,583,151804,89
20180730,588,588,589,582,126504,74
20180727,585,582,585,573,83885,49
20180726,582,579,586,570,134661,78
20180725,574,573,581,569,184604,106
20180724,576,560,578,556,186206,106
20180723,564,589,598,558,288025,164
20180720,590,598,598,584,164532,97
20180719,590,600,604,579,283681,167
20180718,599,618,618,578,412300,246
20180717,609,620,620,602,267882,163
20180716,612,610,614,595,237804,144
20180713,611,596,628,582,1628728,997
20180712,588,573,625,570,548648,324
20180711,573,563,577,550,280998,159
20180710,567,531,596,528,2685459,1521
20180709,531,547,553,526,1223173,652
20180706,554,554,562,547,564847,312
20180705,563,577,579,549,1120606,625
20180704,577,570,589,566,390244,224
20180703,578,609,609,565,687872,404
20180702,591,605,608,584,321366,190
20180629,604,620,624,576,1758286,1045
20180628,624,640,641,618,349662,219
20180627,640,647,648,635,148392,95
20180626,646,639,649,628,321303,204
20180625,643,653,653,640,221830,143
20180622,644,655,659,637,475829,306
20180621,655,665,668,655,282691,186
20180620,664,657,680,651,310931,206
20180619,660,670,676,654,456019,302
20180618,673,700,700,647,877963,584
20180615,696,693,701,692,196358,137
20180614,702,720,723,690,586769,413
20180612,718,725,729,713,200983,144
20180611,724,735,743,689,466101,338
20180608,734,721,782,720,732713,547
20180607,723,728,733,721,216606,157
20180605,724,723,732,716,174908,126
20180604,726,730,736,723,164177,119
20180601,727,730,730,711,284009,205
20180531,729,723,732,716,268650,195
20180530,722,740,801,698,931893,690
20180529,737,765,768,730,508661,379
20180528,768,761,774,760,227769,174
20180525,769,777,779,755,472167,362
20180524,777,788,796,763,365119,282
20180523,788,795,799,782,245902,194
20180521,792,786,801,782,324295,256
20180518,787,781,793,779,421073,332
20180517,781,796,800,776,291903,228
20180516,786,796,796,772,376477,294
20180515,792,796,800,785,440452,349
20180514,790,808,808,778,382597,300
20180511,794,798,800,780,543198,428
